Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition,EducationField
28,Male,Sales,Sales Executive,5253,7,No,4,3,0,Life Sciences
49,Male,Research & Development,Healthcare Representative,10965,5,No,3,3,0,Other
51,Female,Sales,Sales Executive,4936,7,No,4,2,0,Life Sciences
36,Female,Research & Development,Research Scientist,2543,2,No,3,3,0,Life Sciences
34,Male,Sales,Sales Executive,5304,5,Yes,4,2,1,Marketing
55,Female,Research & Development,Manager,16659,5,Yes,4,3,0,Life Sciences
24,Female,Sales,Sales Executive,4260,5,Yes,3,4,0,Marketing
30,Male,Sales,Sales Representative,2476,1,No,2,3,0,Technical Degree
26,Male,Research & Development,Research Scientist,3102,6,No,1,3,1,Technical Degree
22,Female,Research & Development,Research Scientist,2244,2,No,2,3,0,Medical
36,Male,Sales,Sales Executive,7596,10,No,3,3,0,Medical
30,Male,Research & Development,Research Scientist,2285,1,Yes,4,3,1,Technical Degree
37,Female,Research & Development,Laboratory Technician,3034,18,No,1,2,0,Life Sciences
40,Female,Sales,Sales Executive,5715,5,No,2,3,0,Marketing
42,Female,Research & Development,Laboratory Technician,2576,5,No,1,3,0,Life Sciences
37,Male,Research & Development,Manufacturing Director,4197,1,Yes,2,2,0,Life Sciences
43,Male,Research & Development,Research Director,14336,25,No,2,3,0,Life Sciences
40,Female,Research & Development,Laboratory Technician,3448,1,No,3,3,0,Medical
54,Male,Research & Development,Research Director,19406,4,No,1,2,0,Medical
34,Female,Sales,Sales Executive,6538,3,No,3,3,0,Marketing
31,Female,Research & Development,Manufacturing Director,4306,13,No,1,1,0,Medical
43,Male,Research & Development,Laboratory Technician,2258,3,No,4,3,0,Medical
43,Female,Research & Development,Healthcare Representative,4522,5,Yes,3,3,0,Other
25,Female,Sales,Sales Executive,4487,5,Yes,4,3,0,Life Sciences
37,Female,Research & Development,Research Scientist,4449,13,Yes,3,3,0,Medical
31,Male,Research & Development,Laboratory Technician,2218,4,No,1,3,0,Life Sciences
39,Male,Research & Development,Manager,19197,21,Yes,3,3,0,Life Sciences
56,Female,Sales,Sales Executive,13212,7,No,1,2,0,Life Sciences
30,Female,Sales,Sales Executive,6577,5,No,3,3,0,Technical Degree
41,Male,Sales,Sales Executive,8392,10,No,1,3,0,Marketing
28,Male,Research & Development,Laboratory Technician,4558,10,No,1,3,0,Medical
25,Male,Research & Development,Laboratory Technician,4031,2,No,1,3,1,Medical
52,Male,Research & Development,Manufacturing Director,7969,5,Yes,3,3,0,Medical
45,Male,Research & Development,Research Scientist,2654,2,No,4,2,0,Life Sciences
52,Female,Research & Development,Manager,16555,5,No,4,1,0,Life Sciences
42,Female,Research & Development,Research Scientist,4556,5,No,3,3,0,Life Sciences
30,Female,Research & Development,Manufacturing Director,6091,5,No,4,3,0,Life Sciences
60,Female,Research & Development,Manager,19566,29,No,1,1,0,Life Sciences
46,Female,Research & Development,Manufacturing Director,4810,10,No,3,2,0,Medical
42,Female,Research & Development,Healthcare Representative,4523,6,No,4,4,0,Technical Degree
24,Female,Sales,Sales Representative,3202,5,Yes,2,3,1,Technical Degree
34,Female,Sales,Sales Representative,2351,2,No,3,2,1,Marketing
38,Male,Research & Development,Laboratory Technician,1702,1,Yes,4,3,0,Life Sciences
40,Female,Sales,Manager,18041,20,No,3,3,0,Life Sciences
26,Female,Research & Development,Research Scientist,2886,3,No,4,1,0,Life Sciences
30,Male,Research & Development,Laboratory Technician,2097,5,No,4,1,0,Life Sciences
29,Male,Research & Development,Research Director,11935,10,No,3,3,0,Medical
29,Female,Research & Development,Research Scientist,2546,2,No,2,4,1,Technical Degree
19,Male,Human Resources,Human Resources,2564,1,No,4,4,1,Technical Degree
30,Female,Sales,Sales Executive,8412,9,No,1,3,0,Other
57,Male,Sales,Manager,14118,1,No,4,2,0,Marketing
50,Male,Research & Development,Manager,17046,27,No,3,3,0,Life Sciences
30,Female,Research & Development,Laboratory Technician,2564,11,No,4,2,0,Medical
60,Female,Sales,Sales Executive,10266,18,No,1,4,0,Marketing
47,Female,Research & Development,Manufacturing Director,5070,5,No,4,3,0,Medical
46,Male,Research & Development,Research Director,17861,3,No,3,1,0,Life Sciences
35,Male,Research & Development,Laboratory Technician,4230,5,No,3,3,0,Life Sciences
54,Female,Research & Development,Laboratory Technician,3780,1,No,3,3,0,Life Sciences
34,Male,Research & Development,Research Scientist,2768,7,No,3,3,0,Life Sciences
46,Female,Sales,Sales Executive,9071,3,Yes,4,3,0,Marketing
31,Male,Research & Development,Manufacturing Director,10648,13,No,2,4,0,Life Sciences
33,Male,Research & Development,Manager,13610,7,Yes,3,4,1,Medical
33,Male,Research & Development,Laboratory Technician,3408,4,No,4,3,1,Medical
30,Male,Sales,Sales Representative,2983,3,No,2,3,0,Marketing
35,Male,Research & Development,Healthcare Representative,7632,8,Yes,3,3,0,Life Sciences
31,Male,Research & Development,Healthcare Representative,9824,1,No,3,3,1,Life Sciences
34,Female,Human Resources,Human Resources,9950,3,Yes,1,3,1,Human Resources
42,Male,Research & Development,Laboratory Technician,2093,2,No,3,3,0,Other
36,Male,Sales,Sales Executive,9980,10,No,4,2,0,Medical
22,Male,Research & Development,Laboratory Technician,3894,2,No,3,3,1,Technical Degree
48,Female,Sales,Sales Executive,4051,9,No,4,3,0,Marketing
55,Female,Sales,Manager,16835,10,No,2,3,0,Life Sciences
41,Male,Sales,Sales Executive,6230,14,No,4,3,0,Life Sciences
35,Male,Sales,Sales Executive,4717,11,No,3,3,0,Marketing
40,Female,Research & Development,Manufacturing Director,13237,20,No,3,3,0,Life Sciences
39,Female,Research & Development,Laboratory Technician,3755,8,No,3,3,0,Life Sciences
31,Male,Sales,Sales Executive,6582,6,Yes,4,4,0,Life Sciences
42,Male,Research & Development,Manufacturing Director,7406,10,Yes,1,2,0,Medical
45,Male,Sales,Sales Executive,4805,8,No,2,4,0,Other
26,Female,Human Resources,Human Resources,2741,7,Yes,3,2,1,Life Sciences
29,Male,Research & Development,Manufacturing Director,4262,3,No,4,4,0,Technical Degree
33,Female,Research & Development,Research Director,16184,6,No,3,3,0,Medical
31,Male,Sales,Manager,11557,5,No,4,2,0,Life Sciences
18,Male,Sales,Sales Representative,1878,0,Yes,2,3,1,Marketing
40,Male,Sales,Sales Executive,10932,1,No,1,3,0,Other
41,Female,Research & Development,Healthcare Representative,6811,8,Yes,3,3,0,Other
26,Male,Sales,Sales Executive,4306,0,No,3,3,0,Medical
35,Female,Sales,Sales Executive,4859,5,No,3,3,0,Medical
34,Male,Sales,Sales Executive,5337,10,No,4,3,0,Life Sciences
26,Male,Research & Development,Laboratory Technician,2340,1,Yes,4,1,1,Technical Degree
37,Female,Research & Development,Manufacturing Director,7491,6,No,4,4,0,Technical Degree
46,Female,Research & Development,Healthcare Representative,10527,2,No,3,2,0,Medical
41,Female,Sales,Manager,16595,18,No,1,3,0,Life Sciences
37,Male,Sales,Sales Executive,8834,9,No,2,3,0,Medical
52,Male,Research & Development,Research Scientist,5577,10,Yes,1,3,0,Technical Degree
32,Male,Sales,Sales Executive,4707,4,No,3,3,1,Other
24,Male,Sales,Sales Representative,2400,2,No,4,3,0,Medical
38,Female,Research & Development,Healthcare Representative,9824,1,No,3,3,0,Medical
37,Female,Research & Development,Manufacturing Director,6447,6,No,2,2,0,Life Sciences
49,Male,Research & Development,Research Director,19502,31,Yes,3,3,0,Life Sciences
24,Male,Research & Development,Research Scientist,2725,6,Yes,4,3,0,Medical
26,Male,Sales,Sales Executive,6272,5,No,2,4,0,Marketing
24,Male,Research & Development,Laboratory Technician,2127,1,No,2,3,0,Other
50,Male,Human Resources,Manager,18200,32,No,2,3,0,Medical
25,Male,Sales,Sales Representative,2096,7,No,3,3,0,Medical
24,Female,Research & Development,Laboratory Technician,2886,6,Yes,3,3,1,Life Sciences
30,Male,Sales,Sales Representative,2033,1,No,1,4,1,Life Sciences
34,Male,Research & Development,Research Scientist,3622,6,Yes,4,3,0,Life Sciences
31,Male,Sales,Sales Executive,4233,3,No,1,1,1,Medical
35,Male,Research & Development,Laboratory Technician,3681,3,No,4,3,0,Other
31,Male,Sales,Sales Executive,5460,7,No,4,4,0,Medical
27,Female,Research & Development,Research Scientist,2187,5,No,3,2,0,Medical
37,Male,Sales,Sales Executive,9602,3,Yes,3,2,0,Marketing
20,Female,Research & Development,Research Scientist,2836,1,No,2,4,0,Life Sciences
42,Female,Research & Development,Healthcare Representative,4089,10,No,4,3,0,Life Sciences
43,Male,Research & Development,Research Director,16627,1,Yes,4,2,0,Other
38,Female,Research & Development,Research Scientist,2619,0,No,1,2,0,Life Sciences
43,Male,Research & Development,Laboratory Technician,5679,8,Yes,3,3,0,Medical
48,Female,Research & Development,Manager,15402,3,No,1,1,0,Life Sciences
44,Female,Human Resources,Human Resources,5985,2,No,3,4,0,Life Sciences
34,Female,Sales,Sales Representative,2579,8,Yes,3,3,0,Technical Degree
27,Male,Sales,Sales Representative,3041,4,No,1,3,1,Marketing
21,Male,Sales,Sales Representative,3447,3,No,3,3,0,Technical Degree
44,Male,Research & Development,Manager,19513,2,Yes,4,4,0,Other
22,Male,Research & Development,Research Scientist,2773,2,No,3,3,0,Medical
33,Male,Sales,Sales Executive,7104,5,No,3,3,0,Marketing
32,Female,Research & Development,Research Scientist,6322,6,Yes,4,2,0,Life Sciences
30,Female,Research & Development,Research Scientist,2083,1,No,3,3,0,Medical
53,Female,Sales,Sales Executive,8381,14,No,1,4,0,Medical
34,Male,Research & Development,Research Scientist,2691,10,No,4,2,0,Life Sciences
45,Female,Sales,Sales Executive,4286,1,No,1,3,1,Life Sciences
26,Female,Research & Development,Laboratory Technician,2659,3,Yes,4,3,0,Life Sciences
37,Male,Research & Development,Manufacturing Director,9434,10,No,3,3,0,Other
29,Female,Sales,Sales Executive,5561,6,No,3,2,0,Medical
35,Male,Research & Development,Research Scientist,6646,17,No,4,3,0,Life Sciences
33,Male,Research & Development,Healthcare Representative,7725,13,No,4,1,0,Life Sciences
54,Male,Human Resources,Human Resources,10725,9,No,2,4,0,Medical
36,Male,Research & Development,Manufacturing Director,8847,3,Yes,2,3,0,Medical
27,Male,Research & Development,Research Scientist,2045,4,No,4,3,0,Medical
20,Male,Research & Development,Research Scientist,1009,1,Yes,3,3,1,Medical
33,Male,Research & Development,Research Scientist,3348,10,Yes,1,3,1,Life Sciences
35,Male,Research & Development,Laboratory Technician,1281,1,No,3,3,0,Life Sciences
23,Male,Research & Development,Research Scientist,2819,3,No,1,4,0,Medical
25,Male,Sales,Sales Executive,4851,3,No,2,3,0,Life Sciences
38,Female,Sales,Sales Executive,4028,7,No,4,3,0,Marketing
29,Male,Research & Development,Research Scientist,2720,10,No,4,3,0,Life Sciences
48,Male,Sales,Sales Executive,8120,2,No,2,3,0,Marketing
27,Female,Sales,Sales Executive,4647,6,Yes,4,3,0,Medical
37,Male,Research & Development,Research Scientist,4680,1,No,4,3,0,Life Sciences
50,Male,Research & Development,Laboratory Technician,3221,20,Yes,3,3,0,Medical
34,Female,Research & Development,Healthcare Representative,8621,8,No,2,4,0,Medical
24,Female,Sales,Sales Executive,4577,2,No,3,3,1,Life Sciences
39,Female,Research & Development,Healthcare Representative,4553,20,No,3,3,0,Technical Degree
32,Male,Sales,Sales Executive,5396,10,No,4,2,0,Marketing
50,Male,Sales,Sales Executive,6796,4,Yes,3,3,1,Technical Degree
38,Female,Research & Development,Healthcare Representative,7625,9,No,4,2,0,Life Sciences
27,Female,Research & Development,Manufacturing Director,7412,9,No,1,3,0,Life Sciences
32,Female,Research & Development,Research Director,11159,7,No,4,3,0,Life Sciences
47,Male,Sales,Sales Executive,4960,7,No,1,3,0,Marketing
40,Male,Sales,Sales Executive,10475,18,Yes,1,3,0,Life Sciences
53,Male,Research & Development,Research Director,14814,5,No,3,3,0,Life Sciences
41,Male,Human Resources,Manager,19141,21,No,4,2,0,Human Resources
60,Male,Sales,Sales Executive,5405,2,No,1,3,0,Marketing
27,Male,Research & Development,Manufacturing Director,8793,9,No,1,2,0,Life Sciences
41,Male,Human Resources,Manager,19189,22,No,3,3,0,Human Resources
50,Male,Sales,Sales Representative,3875,2,No,2,3,0,Marketing
28,Female,Research & Development,Research Scientist,2216,7,Yes,2,3,1,Life Sciences
36,Female,Research & Development,Research Director,11713,8,No,1,3,0,Life Sciences
38,Female,Research & Development,Manufacturing Director,7861,1,Yes,3,4,0,Life Sciences
44,Male,Research & Development,Laboratory Technician,3708,5,No,3,3,0,Medical
47,Female,Sales,Sales Executive,13770,22,Yes,3,2,0,Medical
30,Male,Sales,Sales Executive,5304,8,No,4,2,0,Marketing
29,Male,Sales,Sales Representative,2642,1,No,3,3,0,Life Sciences
42,Male,Research & Development,Research Scientist,2759,2,Yes,3,3,1,Medical
43,Male,Sales,Sales Executive,6804,2,No,4,3,0,Life Sciences
34,Female,Research & Development,Healthcare Representative,6142,5,No,3,3,0,Medical
23,Male,Research & Development,Laboratory Technician,2500,4,No,1,4,0,Medical
39,Female,Human Resources,Human Resources,6389,8,No,2,1,0,Human Resources
56,Male,Research & Development,Healthcare Representative,11103,10,No,4,2,0,Medical
40,Female,Research & Development,Research Scientist,2342,4,Yes,4,2,0,Medical
27,Female,Research & Development,Healthcare Representative,6811,7,No,1,1,0,Medical
29,Male,Sales,Sales Representative,2297,2,No,2,3,0,Marketing
53,Male,Research & Development,Laboratory Technician,2450,2,No,4,3,0,Life Sciences
35,Female,Research & Development,Healthcare Representative,5093,1,No,1,4,0,Life Sciences
32,Male,Research & Development,Laboratory Technician,5309,10,No,4,3,0,Life Sciences
38,Male,Research & Development,Research Scientist,3057,1,Yes,3,1,0,Medical
34,Female,Research & Development,Manufacturing Director,5121,0,No,1,3,0,Life Sciences
52,Male,Sales,Manager,16856,34,No,1,4,0,Marketing
33,Male,Research & Development,Research Scientist,2686,10,Yes,4,2,1,Other
25,Female,Sales,Sales Executive,6180,6,No,4,2,0,Medical
45,Male,Sales,Sales Representative,6632,8,No,3,3,0,Technical Degree
23,Male,Research & Development,Research Scientist,3505,2,No,3,3,0,Medical
47,Female,Sales,Sales Executive,6397,5,Yes,3,3,1,Life Sciences
34,Male,Sales,Sales Executive,6274,6,No,4,3,0,Other
55,Male,Research & Development,Manager,19859,5,Yes,1,3,1,Medical
36,Male,Sales,Sales Executive,7587,10,No,1,3,0,Life Sciences
52,Male,Research & Development,Research Scientist,4258,4,No,4,3,0,Medical
26,Female,Research & Development,Laboratory Technician,4364,2,No,4,3,0,Life Sciences
29,Female,Research & Development,Healthcare Representative,4335,8,No,3,2,0,Medical
26,Male,Sales,Sales Executive,5326,4,No,1,2,1,Technical Degree
34,Female,Research & Development,Research Scientist,3280,4,No,4,3,0,Life Sciences
54,Female,Research & Development,Manufacturing Director,5485,5,Yes,1,3,0,Medical
27,Male,Sales,Sales Executive,4342,4,No,4,3,0,Marketing
37,Female,Research & Development,Research Scientist,2782,5,Yes,1,2,0,Life Sciences
38,Female,Research & Development,Manufacturing Director,5980,15,Yes,1,3,0,Life Sciences
34,Female,Research & Development,Research Scientist,4381,6,No,1,3,0,Medical
35,Female,Sales,Sales Representative,2572,3,No,4,2,0,Life Sciences
30,Male,Research & Development,Laboratory Technician,3833,2,No,3,3,0,Life Sciences
40,Female,Research & Development,Healthcare Representative,4244,8,No,2,3,0,Medical
34,Female,Sales,Sales Executive,6500,3,No,1,3,0,Life Sciences
42,Male,Research & Development,Manager,18430,24,No,4,2,0,Life Sciences
23,Male,Research & Development,Laboratory Technician,1601,0,Yes,1,3,1,Life Sciences
24,Male,Research & Development,Laboratory Technician,2694,1,No,2,3,0,Life Sciences
52,Female,Research & Development,Laboratory Technician,3149,5,No,3,3,0,Life Sciences
50,Male,Research & Development,Research Director,17639,4,No,3,3,0,Medical
29,Female,Research & Development,Laboratory Technician,2319,1,Yes,1,3,1,Life Sciences
33,Male,Research & Development,Research Director,11691,13,No,3,4,0,Medical
33,Female,Sales,Sales Executive,5324,3,No,1,3,1,Marketing
47,Female,Research & Development,Manager,16752,26,Yes,4,2,0,Other
36,Female,Research & Development,Manufacturing Director,5228,9,No,2,3,0,Other
29,Male,Research & Development,Research Scientist,2700,10,No,3,3,0,Life Sciences
58,Male,Research & Development,Research Director,19246,31,Yes,2,3,1,Life Sciences
35,Female,Research & Development,Research Scientist,2506,2,No,3,3,0,Life Sciences
42,Female,Research & Development,Manufacturing Director,6062,4,Yes,4,3,0,Life Sciences
28,Male,Research & Development,Research Scientist,4382,2,No,3,2,1,Medical
36,Male,Human Resources,Human Resources,2143,5,No,2,3,0,Human Resources
32,Female,Research & Development,Manufacturing Director,6162,14,No,3,3,0,Life Sciences
40,Male,Research & Development,Laboratory Technician,5094,1,No,3,3,0,Medical
30,Female,Research & Development,Manufacturing Director,6877,0,Yes,4,2,0,Medical
45,Female,Research & Development,Research Scientist,2274,1,No,3,3,0,Life Sciences
42,Male,Research & Development,Manufacturing Director,4434,9,No,2,2,0,Life Sciences
38,Male,Research & Development,Healthcare Representative,6288,4,No,1,2,0,Life Sciences
34,Female,Research & Development,Research Scientist,2553,5,No,4,3,0,Life Sciences
49,Female,Sales,Sales Executive,7654,9,No,4,4,1,Marketing
55,Male,Sales,Sales Executive,5160,9,No,4,2,1,Medical
43,Male,Research & Development,Research Director,17159,4,No,1,3,0,Life Sciences
27,Male,Research & Development,Research Director,12808,9,Yes,4,3,0,Technical Degree
35,Male,Research & Development,Manufacturing Director,10221,8,No,3,4,0,Other
28,Female,Sales,Sales Executive,4779,8,Yes,2,3,0,Marketing
34,Male,Human Resources,Human Resources,3737,3,No,4,1,0,Human Resources
26,Female,Research & Development,Research Scientist,2366,8,Yes,3,3,1,Medical
27,Male,Research & Development,Research Scientist,1706,0,No,4,2,0,Medical
51,Female,Sales,Manager,16307,20,No,3,2,0,Marketing
44,Male,Research & Development,Healthcare Representative,5933,5,No,2,2,0,Medical
25,Male,Research & Development,Research Scientist,3424,4,No,1,2,0,Medical
33,Male,Sales,Sales Executive,4037,9,No,1,3,0,Medical
35,Female,Research & Development,Research Scientist,2559,6,No,1,2,0,Medical
36,Male,Sales,Sales Executive,6201,18,Yes,4,2,0,Life Sciences
32,Male,Sales,Sales Executive,4403,5,No,4,2,0,Life Sciences
30,Male,Research & Development,Research Scientist,3761,5,No,4,2,0,Life Sciences
53,Female,Sales,Sales Executive,10934,5,Yes,4,3,0,Marketing
45,Male,Sales,Sales Executive,10761,5,Yes,1,3,0,Marketing
32,Female,Research & Development,Research Scientist,5175,5,No,3,2,0,Medical
52,Female,Research & Development,Manufacturing Director,13826,9,No,4,3,0,Medical
37,Male,Sales,Sales Executive,6334,1,No,3,3,0,Marketing
28,Male,Human Resources,Human Resources,4936,5,No,4,3,0,Medical
22,Male,Research & Development,Manufacturing Director,4775,2,No,4,1,0,Life Sciences
44,Male,Research & Development,Laboratory Technician,2818,3,Yes,4,2,0,Life Sciences
42,Male,Research & Development,Research Scientist,2515,2,Yes,4,3,0,Medical
36,Male,Human Resources,Human Resources,2342,5,No,1,3,0,Life Sciences
25,Male,Sales,Sales Executive,4194,5,Yes,1,3,0,Other
35,Female,Research & Development,Manufacturing Director,10685,17,Yes,3,3,0,Life Sciences
35,Female,Research & Development,Research Scientist,2022,10,Yes,2,2,1,Life Sciences
32,Male,Research & Development,Laboratory Technician,2314,3,No,4,3,0,Life Sciences
25,Male,Sales,Sales Executive,4256,5,No,1,4,0,Marketing
49,Female,Research & Development,Research Scientist,3580,4,No,1,3,0,Technical Degree
24,Male,Research & Development,Laboratory Technician,3162,5,No,4,2,0,Life Sciences
32,Male,Sales,Sales Executive,6524,10,No,2,3,0,Life Sciences
38,Male,Sales,Sales Representative,2899,2,No,2,3,0,Marketing
42,Female,Research & Development,Laboratory Technician,5231,5,Yes,4,2,0,Life Sciences
31,Male,Research & Development,Research Scientist,2356,6,Yes,4,3,0,Life Sciences
29,Female,Sales,Sales Representative,2800,3,Yes,3,3,1,Medical
53,Male,Sales,Sales Executive,11836,2,No,4,3,0,Marketing
35,Male,Research & Development,Manufacturing Director,10903,13,No,2,3,0,Technical Degree
37,Female,Sales,Sales Representative,2973,5,No,4,3,0,Medical
53,Female,Research & Development,Research Director,14275,12,No,4,3,0,Life Sciences
43,Female,Research & Development,Healthcare Representative,5562,5,No,4,2,0,Life Sciences
47,Female,Sales,Sales Executive,4537,7,Yes,4,3,0,Marketing
37,Male,Sales,Sales Executive,7642,10,Yes,2,3,0,Medical
50,Male,Research & Development,Manager,17924,31,No,1,3,0,Life Sciences
39,Female,Human Resources,Human Resources,5204,5,No,4,3,0,Life Sciences
33,Male,Human Resources,Human Resources,2277,4,Yes,2,4,0,Human Resources
32,Male,Research & Development,Laboratory Technician,2795,1,Yes,4,1,1,Life Sciences
29,Female,Research & Development,Laboratory Technician,2532,4,No,4,3,0,Medical
44,Male,Research & Development,Research Scientist,2559,8,Yes,1,3,0,Life Sciences
28,Male,Sales,Sales Executive,4908,4,No,4,3,0,Medical
58,Male,Research & Development,Laboratory Technician,2380,1,Yes,4,2,1,Life Sciences
43,Female,Research & Development,Manufacturing Director,4765,1,No,2,4,0,Life Sciences
20,Female,Sales,Sales Representative,2044,2,No,3,2,1,Medical
21,Female,Research & Development,Research Scientist,2693,1,No,4,2,1,Other
36,Male,Research & Development,Healthcare Representative,6586,16,Yes,4,2,0,Life Sciences
47,Female,Sales,Sales Representative,3294,3,Yes,4,2,0,Life Sciences
22,Female,Research & Development,Manufacturing Director,4171,3,Yes,3,4,1,Life Sciences
41,Female,Research & Development,Laboratory Technician,2778,7,Yes,4,2,1,Life Sciences
28,Female,Research & Development,Research Scientist,2377,2,No,3,3,0,Medical
39,Male,Research & Development,Laboratory Technician,2404,2,Yes,1,1,1,Medical
27,Female,Research & Development,Research Scientist,2318,1,No,3,3,0,Life Sciences
34,Male,Research & Development,Laboratory Technician,2008,1,No,2,3,0,Life Sciences
42,Female,Sales,Sales Executive,6244,5,No,3,3,0,Medical
33,Male,Research & Development,Research Scientist,2799,3,Yes,1,3,0,Other
58,Female,Research & Development,Healthcare Representative,10552,6,Yes,2,3,0,Technical Degree
31,Male,Sales,Sales Representative,2329,7,No,3,4,0,Life Sciences
35,Female,Research & Development,Healthcare Representative,4014,10,Yes,4,1,0,Life Sciences
49,Female,Research & Development,Laboratory Technician,7403,26,No,2,2,0,Other
48,Male,Research & Development,Research Scientist,2259,0,No,3,2,0,Medical
31,Female,Sales,Sales Executive,6932,9,No,3,2,0,Marketing
36,Male,Research & Development,Research Scientist,4678,6,No,4,3,0,Other
38,Female,Research & Development,Research Director,13582,15,No,1,3,0,Technical Degree
32,Female,Research & Development,Laboratory Technician,2332,3,No,2,3,0,Life Sciences
25,Male,Sales,Sales Representative,2413,1,Yes,2,3,1,Marketing
40,Male,Sales,Sales Executive,9705,1,No,2,2,0,Marketing
26,Male,Sales,Sales Executive,4294,7,No,1,3,0,Medical
41,Male,Research & Development,Laboratory Technician,4721,18,Yes,1,3,0,Medical
36,Male,Research & Development,Laboratory Technician,2519,11,No,3,3,0,Medical
19,Male,Sales,Sales Representative,2121,1,Yes,2,4,1,Other
20,Male,Research & Development,Laboratory Technician,2973,1,No,1,3,1,Technical Degree
31,Female,Research & Development,Healthcare Representative,5855,9,Yes,4,1,0,Medical
40,Male,Research & Development,Research Scientist,3617,1,Yes,2,3,0,Medical
32,Female,Research & Development,Manufacturing Director,6725,8,No,1,4,0,Medical
36,Male,Sales,Sales Executive,10325,16,Yes,4,3,1,Life Sciences
33,Female,Research & Development,Healthcare Representative,6949,5,No,4,3,0,Life Sciences
37,Male,Sales,Sales Executive,10609,14,No,3,1,1,Life Sciences
45,Male,Research & Development,Laboratory Technician,4447,9,No,2,2,0,Life Sciences
29,Female,Sales,Sales Representative,2157,3,No,4,3,0,Technical Degree
35,Female,Sales,Sales Executive,4601,5,No,3,3,0,Medical
52,Male,Research & Development,Manager,17099,9,No,4,2,0,Life Sciences
58,Male,Research & Development,Research Scientist,2479,1,No,3,3,1,Technical Degree
53,Male,Sales,Manager,14852,17,No,3,4,0,Medical
30,Male,Sales,Sales Executive,7264,8,No,3,4,0,Other
38,Female,Sales,Sales Executive,5666,5,Yes,4,3,0,Technical Degree
35,Male,Sales,Sales Executive,7823,10,No,4,3,0,Life Sciences
39,Male,Sales,Sales Executive,7880,8,No,3,3,0,Life Sciences
40,Female,Sales,Sales Executive,13194,1,Yes,2,2,1,Life Sciences
47,Male,Research & Development,Manufacturing Director,5067,19,Yes,3,4,0,Medical
36,Male,Sales,Sales Executive,5079,7,No,4,3,0,Technical Degree
31,Male,Research & Development,Research Scientist,2321,3,Yes,1,3,1,Medical
33,Male,Sales,Manager,17444,10,No,3,3,0,Life Sciences
29,Female,Research & Development,Research Scientist,2404,0,Yes,1,3,1,Life Sciences
33,Female,Research & Development,Research Scientist,3452,3,No,4,3,0,Life Sciences
45,Female,Research & Development,Laboratory Technician,2270,5,No,4,3,0,Medical
50,Male,Research & Development,Research Director,17399,5,No,4,2,0,Medical
33,Female,Research & Development,Healthcare Representative,5488,6,Yes,2,3,0,Other
41,Male,Research & Development,Research Director,19419,18,No,3,4,0,Medical
27,Female,Research & Development,Laboratory Technician,2811,2,No,2,3,0,Technical Degree
45,Male,Research & Development,Laboratory Technician,3633,9,Yes,1,3,0,Life Sciences
47,Female,Sales,Sales Executive,4163,9,Yes,4,3,0,Life Sciences
30,Female,Research & Development,Research Scientist,2132,5,Yes,3,3,1,Life Sciences
50,Male,Research & Development,Manufacturing Director,13973,12,Yes,3,3,0,Life Sciences
38,Male,Research & Development,Research Scientist,2684,2,No,3,2,0,Medical
46,Male,Research & Development,Manufacturing Director,10845,8,No,3,3,0,Medical
24,Female,Research & Development,Manufacturing Director,4377,4,No,3,3,0,Medical
35,Male,Research & Development,Laboratory Technician,3743,4,Yes,2,1,1,Other
31,Female,Research & Development,Manufacturing Director,4148,4,No,1,3,0,Life Sciences
18,Male,Research & Development,Research Scientist,1051,0,No,4,3,0,Life Sciences
54,Female,Research & Development,Manufacturing Director,10739,10,No,3,3,0,Technical Degree
35,Female,Research & Development,Healthcare Representative,10388,16,Yes,3,2,0,Medical
30,Female,Research & Development,Research Director,11416,8,Yes,1,2,0,Life Sciences
20,Female,Research & Development,Research Scientist,2600,1,Yes,1,3,1,Medical
30,Female,Research & Development,Laboratory Technician,2422,3,No,2,3,1,Medical
26,Male,Research & Development,Manufacturing Director,5472,8,No,4,3,0,Medical
22,Male,Research & Development,Laboratory Technician,2451,4,No,1,2,0,Life Sciences
48,Male,Research & Development,Healthcare Representative,4240,2,No,3,3,0,Life Sciences
48,Male,Research & Development,Healthcare Representative,10999,15,No,3,3,0,Life Sciences
41,Female,Research & Development,Manufacturing Director,5003,2,No,3,3,0,Medical
39,Female,Research & Development,Manufacturing Director,12742,21,No,4,3,0,Life Sciences
27,Female,Research & Development,Manufacturing Director,4227,3,No,4,3,0,Life Sciences
35,Male,Research & Development,Laboratory Technician,3917,3,No,4,2,0,Other
42,Male,Sales,Manager,18303,1,No,3,4,0,Marketing
50,Male,Research & Development,Laboratory Technician,2380,1,No,4,3,0,Life Sciences
59,Female,Research & Development,Manufacturing Director,13726,5,Yes,4,3,0,Life Sciences
37,Female,Research & Development,Healthcare Representative,4777,1,No,2,1,1,Medical
55,Male,Research & Development,Healthcare Representative,6385,8,Yes,2,3,0,Medical
41,Female,Research & Development,Research Director,19973,21,No,3,3,0,Life Sciences
38,Male,Sales,Sales Executive,6861,1,Yes,4,3,0,Life Sciences
26,Male,Sales,Sales Executive,4969,2,No,1,3,1,Medical
52,Female,Sales,Manager,19845,32,No,4,3,1,Marketing
44,Female,Sales,Sales Executive,13320,12,Yes,4,3,0,Medical
50,Female,Sales,Sales Executive,6347,18,No,3,3,0,Life Sciences
